,Sun01Jan
325,
37243,
42256,
44194,
,
345,
30938,LS
26770,V
44191,V
,
403,
32107,i
32113,Li
,
409,
36739,
44195,
,
417,
37230,
43931,
,
433,
39862,
44800,
,
461,
39157,
43943,
44295,
,
465,
30947,i
43485,
43935,i
,
600,
29449,i
44810,i
,
638,
37249,
44308,
,
644,
31837,
44230,
,
648,
33638,
45148,
,
656,
26310,y
42572,y
,
658,
35308,
44190,
,
660,
39840,
43259,
42263,P
,
682,
27477,
44613,
,
924,
36735,
44355,
44338,
,
960,
33563,
43938,
42584,
,
,Mon02Jan
325,
36151,
42582,
44216,
,
403,
28368,B
40299,LB
,
409,
20826,B
34098,LB
,
417,
38345,
44188,
,
433,
38007,
44342,
,
461,
37995,
44274,
44310,
,
465,
33641,
44339,
44183,
,
600,
33874,
44345,
,
638,
29437,i
33871,Li
,
644,
37213,
44291,
,
648,
36730,
45140,
,
656,
26870,
42646,
,
658,
27476,
44214,
,
660,
33572,
43932,P
44819,
,
682,
35459,
44804,
,
924,
37222,
43826,
44201,
,
960,
37139,
44302,
44792,
,
,Tue03Jan
325,
37234,
42660,
44795,
,
345,
37223,
41929,
44188,
,
403,
26539,B
44806,B
,
409,
28382,i
25324,Li
,
413,
37132,
42652,
,
417,
34097,
44808,
,
433,
38369,
43833,
,
461,
33155,
43478,
44236,
,
465,
26769,i
44279,
42643,i
,
600,
32092,i
42669,i
,
638,
33165,i
42618,i
,
644,
33824,
44238,
,
648,
35309,
45145,
,
656,
29449,y
42619,y
,
658,
38386,
43481,
,
660,
36054,
42780,
42319,P
,
682,
37252,
45139,
,
924,
36732,
44357,
44225,
,
960,
37211,
44344,
44253,
,
,Wed04Jan
321,
33642,
44264,
,
325,
33579,
44192,
44820,
,
403,
33877,
43934,
,
409,
25384,
44193,
,
417,
28376,
44278,
,
431,
39833,
44305,
,
433,
38383,
44277,
,
461,
33576,
44343,
44614,
,
465,
33153,i
44351,
45494,i
,
600,
28368,S
44350,V
,
638,
27115,B
40514,LB
,
644,
26959,
44282,
,
648,
35306,
44813,
,
656,
32112,t
25325,Lt
,
658,
38900,
44191,
,
660,
33868,
42627,P
45144,
,
682,
40192,
42256,
,
924,
36727,
44356,
44260,
,
960,
37253,
40809,
44352,
,
,Thu05Jan
325,
38887,
44346,
44806,
,
345,
37230,
44237,
44798,
,
403,
30938,y
26467,Ly
,
409,
30936,y
42791,y
,
417,
38903,
44216,
,
433,
37249,
44308,
,
461,
38336,
40785,
43833,
,
465,
37240,
44215,
44401,
,
600,
20826,B
45669,B
,
638,
37243,
44186,
,
644,
26955,i
42665,i
,
648,
36154,
45499,
,
656,
37791,
43403,
,
658,
36739,
42790,
,
660,
26470,
42779,P
45146,
,
682,
30952,
44815,
,
924,
33849,
43946,
44187,
,
960,
38366,
44194,
44205,
,
